"API.MATS3c"	"API.BCUTc-1l"	"API.MAXDN"	"API.ZMIC3"	"API.JGI3"	"EXP1.GATS4p"	"EXP1.ETA_EtaP_L"	"EXP1.MDEC.22"	"EXP2.ATS6m"	"PreparationMethod"	"Excipient1_mg_per_1g"	"Ball_diameter_mm"	"Medium_ionic_strength"	"Time_min"	"Q"
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	500	0	0	60	51.24969977
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	91	0	0	0	0
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	91	0	0	5	10.80155446
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	91	0	0	15	17.42162931
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	91	0	0	30	22.90933566
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	91	0	0	45	27.05816902
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	91	0	0	60	30.40007153
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	333	0	0	0	0
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	333	0	0	5	19.610358
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	333	0	0	15	26.69598459
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	333	0	0	30	31.59989567
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	333	0	0	45	34.6869106
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.310802797	0.343791818	1.412589197	0	4	333	0	0	60	37.2251195
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	500	0	0	0	0
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	500	0	0	5	24.00271862
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	500	0	0	15	38.4759815
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	500	0	0	30	51.49415124
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	500	0	0	45	53.75266364
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	500	0	0	60	53.33185
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	91	0	0	0	0
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	91	0	0	5	14.85829735
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	91	0	0	15	23.39614463
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	91	0	0	30	30.08316196
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	91	0	0	45	34.54603196
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	91	0	0	60	41.26103327
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	333	0	0	0	0
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	333	0	0	5	23.60261825
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	333	0	0	15	33.02191295
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	333	0	0	30	38.82711648
0.0367551	-0.379678064	6.296608343	35.68176012	0.067819149	1.26353417	0.344829535	1.292614931	0	4	333	0	0	45	43.53286335
